| name                   | title                  | level | facing   | categories      | description                                                                                         | detail                                                                                                                                                           | remediation                                                                                | metadata                                                                                                                      | cache_key                                                                      |
| ---------------------- | ---------------------- | ----- | -------- | --------------- | --------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------ | ----------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------ |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.item_listing\` has a foreign key \`item_listing_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.           | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"item_listing","type":"table","schema":"public","fkey_name":"item_listing_user_id_fkey","fkey_columns":[9]}           | unindexed_foreign_keys_public_item_listing_item_listing_user_id_fkey           |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.payment_records\` has a foreign key \`payment_records_event_id_fkey\` without a covering index. This can lead to suboptimal query performance.    | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"payment_records","type":"table","schema":"public","fkey_name":"payment_records_event_id_fkey","fkey_columns":[10]}   | unindexed_foreign_keys_public_payment_records_payment_records_event_id_fkey    |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.private_messages\` has a foreign key \`private_messages_sender_id_fkey\` without a covering index. This can lead to suboptimal query performance. | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"private_messages","type":"table","schema":"public","fkey_name":"private_messages_sender_id_fkey","fkey_columns":[3]} | unindexed_foreign_keys_public_private_messages_private_messages_sender_id_fkey |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_item_listing_username\` on table \`public.item_listing\` has not been used                                                                           | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"item_listing","type":"table","schema":"public"}                                                                      | unused_index_public_item_listing_idx_item_listing_username                     |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_private_messages_conversation_id\` on table \`public.private_messages\` has not been used                                                            | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"private_messages","type":"table","schema":"public"}                                                                  | unused_index_public_private_messages_idx_private_messages_conversation_id      |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_private_messages_created_at\` on table \`public.private_messages\` has not been used                                                                 | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"private_messages","type":"table","schema":"public"}                                                                  | unused_index_public_private_messages_idx_private_messages_created_at           |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_message_read_status_user_id\` on table \`public.message_read_status\` has not been used                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"message_read_status","type":"table","schema":"public"}                                                               | unused_index_public_message_read_status_idx_message_read_status_user_id        |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_events_organizer_id\` on table \`public.events\` has not been used                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"events","type":"table","schema":"public"}                                                                            | unused_index_public_events_idx_events_organizer_id                             |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_events_event_date\` on table \`public.events\` has not been used                                                                                     | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"events","type":"table","schema":"public"}                                                                            | unused_index_public_events_idx_events_event_date                               |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_events_location\` on table \`public.events\` has not been used                                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"events","type":"table","schema":"public"}                                                                            | unused_index_public_events_idx_events_location                                 |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_events_title\` on table \`public.events\` has not been used                                                                                          | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"events","type":"table","schema":"public"}                                                                            | unused_index_public_events_idx_events_title                                    |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_events_tags\` on table \`public.events\` has not been used                                                                                           | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"events","type":"table","schema":"public"}                                                                            | unused_index_public_events_idx_events_tags                                     |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_events_active\` on table \`public.events\` has not been used                                                                                         | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"events","type":"table","schema":"public"}                                                                            | unused_index_public_events_idx_events_active                                   |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_event_registrations_event_id\` on table \`public.event_registrations\` has not been used                                                             | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"event_registrations","type":"table","schema":"public"}                                                               | unused_index_public_event_registrations_idx_event_registrations_event_id       |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_event_registrations_user_id\` on table \`public.event_registrations\` has not been used                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"event_registrations","type":"table","schema":"public"}                                                               | unused_index_public_event_registrations_idx_event_registrations_user_id        |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_event_bookmarks_user_id\` on table \`public.event_bookmarks\` has not been used                                                                      | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"event_bookmarks","type":"table","schema":"public"}                                                                   | unused_index_public_event_bookmarks_idx_event_bookmarks_user_id                |
| unused_index           | Unused Index           | INFO  | EXTERNAL | ["PERFORMANCE"] | Detects if an index has never been used and may be a candidate for removal.                         | Index \`idx_payment_records_user_id\` on table \`public.payment_records\` has not been used                                                                      | https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index           | {"name":"payment_records","type":"table","schema":"public"}                                                                   | unused_index_public_payment_records_idx_payment_records_user_id                |
